Test,Pmax (N),Hmax (m),S (N/m),Hc (m),Hs (m),Er (Pa),A (m^2),Ap (m^2),Hardness (GPa)
001,0.12081415572191014,1.038362317175401e-06,268857.46898964955,7.013413032830142e-07,5.899375251185889e-07,69635968810.41608,1.3751933273491041e-11,1.1707572313871115e-11,8.785248831507781
002,0.13275493995998697,1.0873163648308773e-06,270051.5521245187,7.186230387355657e-07,5.901335782555056e-07,69635968810.41608,1.4568227974436057e-11,1.1811797494195872e-11,9.112634713909053
003,0.10922084640419383,9.850933136230703e-07,268364.975786285,6.798536504995945e-07,5.885831177823012e-07,69635968810.41608,1.2755469528520181e-11,1.1664719728629382e-11,8.562667658762775
004,0.1095422272130115,9.837833172056377e-07,270570.20676373795,6.801406087477258e-07,5.891184149753615e-07,69635968810.41608,1.2768641946007194e-11,1.1857211982496835e-11,8.579003755937084
005,0.12693157252378098,1.064536066519711e-06,269687.2699068751,7.115395034052988e-07,5.930423159314497e-07,69635968810.41608,1.423203521971777e-11,1.1779952273293379e-11,8.918722485166679
006,0.12856839896143882,1.0701299237059219e-06,269278.654243663,7.120387876226824e-07,5.912548216035364e-07,69635968810.41608,1.425565875105126e-11,1.1744282614472913e-11,9.018762388090817
007,0.10927487914144081,9.860682750606738e-07,269761.0968260161,6.822581248189631e-07,5.914261259148843e-07,69635968810.41608,1.2865956418736331e-11,1.178640268247607e-11,8.49333509184804
008,0.10627981799217077,9.685637262839232e-07,269648.20629497024,6.729568517218397e-07,5.829056369119768e-07,69635968810.41608,1.243997950786081e-11,1.1776539919741106e-11,8.543407802642495
009,0.10829026493498861,9.766506858249724e-07,267690.5214146775,6.732492120931936e-07,5.825454061354395e-07,69635968810.41608,1.2453310583023609e-11,1.160616189989031e-11,8.69570097148386
010,0.11932248581013298,1.0269868438880983e-06,269016.2471615526,6.943234255933026e-07,5.806700665643875e-07,69635968810.41608,1.342423475724122e-11,1.1721404593408216e-11,8.888587540959739
011,0.12677580991096382,1.06208324213651e-06,266746.0542513604,7.056323934067095e-07,5.852599863050555e-07,69635968810.41608,1.3953382394297619e-11,1.1524408528185303e-11,9.085668716624133
012,0.1356559059300281,1.0937751861505584e-06,268977.30583647924,7.155204886729446e-07,5.788860016637687e-07,69635968810.41608,1.442070279902064e-11,1.1718011385785908e-11,9.407024596557179
013,0.10823927639165927,9.803157782243462e-07,267242.4766871441,6.765487337781157e-07,5.861655669353272e-07,69635968810.41608,1.2604025023141626e-11,1.1567342984493496e-11,8.587675460253887
014,0.10570089495405817,9.69211230429866e-07,266434.40942288475,6.71668314005294e-07,5.823495554649908e-07,69635968810.41608,1.238126976662154e-11,1.1497495857968544e-11,8.537161126964172
015,0.12011815983236301,1.0340273667812883e-06,264571.6851485685,6.93519954494582e-07,5.777185797592606e-07,69635968810.41608,1.3386856300634489e-11,1.133729283122561e-11,8.972842998745707
016,0.10668552361408738,9.725065576122182e-07,265369.8041603946,6.709871629556827e-07,5.809061452627252e-07,69635968810.41608,1.2350264145493646e-11,1.140579719153569e-11,8.63831917740923
017,0.17838961289321348,1.2579391751226309e-06,266076.55154428445,7.551056526141943e-07,5.754290022954149e-07,69635968810.41608,1.6335106425636483e-11,1.1466631178454904e-11,10.920627527301995
018,0.11879094555888503,1.025469070881972e-06,264635.46550470794,6.888051660676764e-07,5.767038887192389e-07,69635968810.41608,1.3168095841783052e-11,1.1342759657598617e-11,9.021117934299598
019,0.10337381658868557,9.584951873209315e-07,265364.93384021136,6.663301249687263e-07,5.771493260953731e-07,69635968810.41608,1.2138828845183315e-11,1.1405378535202946e-11,8.5159629406674
020,0.10523704380069014,9.65985414171848e-07,265825.72594436357,6.69069897172425e-07,5.797168027593484e-07,69635968810.41608,1.2263101589416675e-11,1.1445022592563917e-11,8.581600913386547
